Column1,欄1,Column3,Column4
統一超商,便利商店,21.905401,120.850971
統一超商,便利商店,21.933473,120.823819
統一超商,便利商店,21.934058,120.823383
統一超商,便利商店,21.941634,120.807523
統一超商,便利商店,21.941634,120.807523
統一超商,便利商店,21.942629,120.805587
萊爾富,便利商店,21.943049,120.801865
統一超商,便利商店,21.943984,120.801078
全家便利商店,便利商店,21.944998,120.799207
全家便利商店,便利商店,21.945227,120.799051
統一超商,便利商店,21.945274,120.798757
萊爾富,便利商店,21.945328,120.79814
統一超商,便利商店,21.945376,120.797499
統一超商,便利商店,21.945671,120.794789
全家便利商店,便利商店,21.946097,120.795282
萊爾富,便利商店,21.948658,120.740413
統一超商,便利商店,21.951728,120.740816
統一超商,便利商店,21.959926,120.76537
全家便利商店,便利商店,21.959943,120.765077
統一超商,便利商店,21.961894,120.740172
統一超商,便利商店,21.970418,120.755488
統一超商,便利商店,21.997937,120.744358
統一超商,便利商店,22.00286,120.744693
統一超商,便利商店,22.00386195,120.7472665
統一超商,便利商店,22.00386195,120.7472665
萊爾富,便利商店,22.00386195,120.7472665
全家便利商店,便利商店,22.004179,120.744296
統一超商,便利商店,22.005633,120.743867
統一超商,便利商店,22.005771,120.816127
全家便利商店,便利商店,22.009822,120.743766
統一超商,便利商店,22.010103,120.743859
統一超商,便利商店,22.020442,120.744116
統一超商,便利商店,22.020664,120.838975
統一超商,便利商店,22.024425,120.743335
萊爾富,便利商店,22.052933,120.722616
統一超商,便利商店,22.05789753,121.5097167
統一超商,便利商店,22.059193,121.5093
全家便利商店,便利商店,22.069174,120.713561
萊爾富,便利商店,22.070313,120.710459
萊爾富,便利商店,22.07235,120.714199
統一超商,便利商店,22.07359664,120.7143168
統一超商,便利商店,22.074357,120.713789
統一超商,便利商店,22.077344,120.713684
萊爾富,便利商店,22.089626,120.716476
統一超商,便利商店,22.094001,120.748519
萊爾富,便利商店,22.126622,120.77463
統一超商,便利商店,22.194806,120.69201
統一超商,便利商店,22.194806,120.69201
統一超商,便利商店,22.194806,120.69201
萊爾富,便利商店,22.194806,120.69201
統一超商,便利商店,22.221646,120.794952
