name,phone,Lat,lng
領航,(08)8899688,22.024222,120.743402
大發,(08)8823817,22.070133,120.713686
北基楓港,(08)8772177,22.2058758,120.687872
山隆中山,(08)8761533,22.263626,120.653186
千越枋寮,(08)8711212,22.380211,120.596543
枋寮北,(08)8717158,22.3835,120.5958
東龍,(08)8716096,22.395104,120.588424
川流,(08)8666986,22.447616,120.558517
新埤站,(08)7971017,22.46972222,120.5483333
東港站,(08)8322352,22.47166667,120.455
千越東港,(08)8339686,22.471893,120.463902
昶豐,(08)8320288,22.482597,120.469076
南州交流道站,(08)8644993,22.49166667,120.5388889
台糖南州,(08)8645415,22.492287,120.538489
永晉,(07)6434303,22.495695,120.39863
千越,(08)7801936,22.512973,120.531588
永晉潭頭,(07)6433066,22.526304,120.401152
山隆高雄,(07)8716691,22.529633,120.370174
昭明,(07)6452183,22.53984,120.409733
亞柏新園,(08)8686812,22.547151,120.4635212
潮州站,(08)7882044,22.55694444,120.54
千越太平,(08)7805666,22.559615,120.533712
亞柏潮州,(08)7893983,22.5602056,120.5401691
新厝,(07)7875506,22.56102,120.411652
沅成,(08)7880745,22.561327,120.554069
亞柏小港,(07)8133991,22.56627,120.328202
高都,(07)8110200,22.572167,120.328674
大富,(08)7763316,22.573701,120.48094
大潮州,(08)7896331,22.574487,120.516475
新厝高鳳,(07)7932588,22.57752,120.371957
漁港路站,(07)8216516,22.57833333,120.3188889
雄菱,(07)8115010,22.580564,120.312783
新厝大發,(07)7878075,22.581855,120.40733
桂林,(07)7912420,22.584558,120.358429
新厝中安,(07)7922755,22.585071,120.360635
鎮海,(07)8318524,22.590119,120.315353
千越鳳頂,(07)7961788,22.591273,120.358297
泓成,(07)7879020,22.591286,120.402968
凱旋,(07)8216871,22.597062,120.318056
台糖建軍,(07)7534140,22.598152,120.360332
華豐,(07)7245767,22.602879,120.334711
甲洲,(07)7669129,22.602959,120.343381
瑞豐站,(07)7610629,22.604724,120.336653
中崙,(07)7532979,22.606803,120.355105
源興,(07)7539799,22.60704,120.348984
百達,(08)7798388,22.608212,120.559577
永豐高雄,(07)7215215,22.6083,120.333075
民權路站,(07)3316290,22.60972222,120.3136111
新厝鳳林,(07)7812086,22.612267,120.391661
台糖國泰,(07)7552190,22.615777,120.35355
山隆苓雅,(07)7610048,22.616557,120.336517
千越武慶,(07)7235899,22.616964,120.332329
北基大立,(07)7151301,22.617008,120.326431
光華,(07)3336168,22.61823,120.316726
五甲站,(07)7460364,22.61833333,120.3547222
大眾,(07)5370069,22.619736,120.30189
千越鳳林,(07)7013934,22.62255,120.374544
高鳳站,(07)7491901,22.62833333,120.3425
千越內埔,(08)7796565,22.629614,120.546944
塩埕,(07)5337470,22.630458,120.282709
中華三路站,(07)2851354,22.63055556,120.2955556
建國一路站,(07)7518715,22.63277778,120.33
豐田,(08)7792998,22.634731,120.540898
鳳榮,(07)7038452,22.63601,120.383762
北基高旗,(07)7409408,22.6364,120.370363
大來,(07)7024101,22.636499,120.383078
澄清湖,(07)3892166,22.636675,120.340946
鳳松站,(07)7431562,22.63694444,120.3627778
建國二路站,(07)2383484,22.63777778,120.3108333
弘奇,(07)7030118,22.63965,120.401865
江山,(07)7017334,22.640035,120.405576
北基九如路,(07)3809312,22.640203,120.318322
覺民路站,(07)3869992,22.64083333,120.3344444
新厝十全,(07)3223885,22.64474,120.312585
大昌路,(07)3920291,22.647185,120.331797
博愛,(07)3229254,22.65003,120.303119
建工路站,(07)3832928,22.65027778,120.3247222
自由,(07)3863111,22.652411,120.308574
民族,(07)3850731,22.653318,120.315458
新厝自由,(07)3803366,22.653516,120.308922
千越鳥松,(07)7319462,22.65354,120.36513
大順,(07)3960518,22.654009,120.31862
山隆清溪,(08)7521685,22.654057,120.473263
千越麟洛,(08)7226565,22.654819,120.51999
新厝博愛,(07)5585266,22.6551,120.303739
大屏東,(08)7510913,22.655827,120.467813
鼎山路站,(07)3839681,22.65722222,120.3219444
千越仁美,(07)7332589,22.65913,120.38017
九大,(07)6519991,22.65932,120.42543
復興路站,(08)7525421,22.66083333,120.4877778
新厝明誠,(07)5555570,22.660943,120.296533
千越屏東建國,(08)7517890,22.661284,120.469535
北基金獅,(07)3107389,22.662996,120.321974
北基健民,(08)7523396,22.6651552,120.481126
裕誠,(07)5563797,22.665634,120.303712
雍東,(08)7237950,22.666814,120.498833
天祥,(07)3472200,22.666835,120.321352
源豐,(07)5577111,22.668683,120.303675
金獅湖,(07)3425279,22.669729,120.326365
左營站,(07)5825621,22.67111111,120.2863889
高楠,(07)3416206,22.671188,120.317283
上豐,(07)3452235,22.671452,120.31072
左新,(07)3453500,22.676844,120.299356
宏達,(07)3414698,22.678412,120.319617
亞柏八卦寮,(07)3717900,22.68167,120.32906
桂華,(07)3416037,22.68207,120.310493
屏東中山,(08)7338359,22.6834712,120.4843116
中正路站,(08)7364224,22.68555556,120.4947222
新厝灣內,(07)3728082,22.68705,120.35536
北屏東,(08)7362417,22.693668,120.503285
鳳仁,(07)3723933,22.69497,120.34836
