中文單位名稱,電話,緯度Lat,經度Lng
墾丁派出所,08 8861039,21.944623,120.799818
龍水派出所,08 8894172,21.980735,120.729751
恆春分局,08 8892075,22.002994,120.745257
建民派出所,08 8892587,22.002994,120.745257
滿州分駐所,08 8801161,22.020834,120.839179
建蘭派出所,089 732650,22.025623,121.552475
仁壽派出所,08 8893247,22.027,120.737619
蘭嶼分駐所,089 732011,22.049633,121.512403
東清派出所,089 732975,22.057276,121.565019
車城分駐所,08 8821152,22.072873,120.714237
長樂派出所,08 8811141,22.075711,120.828287
朗島派出所,089 732131,22.07886,121.529565
牡丹分駐所,08 8831110,22.125645,120.773689
九棚派出所,08 8810200,22.133674,120.881714
楓港派出所,08 8771214,22.190478,120.691074
旭海派出所,08 8830200,22.194886,120.887413
獅子分駐所,08 8771391,22.202048,120.705089
草埔派出所,08 8701484,22.231202,120.800917
枋山分駐所,08 8761129,22.263023,120.652318
森永派出所,089 702297,22.278057,120.864536
達仁分駐所,089 702247,22.294958,120.884234
南田派出所,089 702247,22.294958,120.884234
內獅派出所,08 8720004,22.304477,120.645106
加祿派出所,08 8720002,22.332002,120.618672
尚武派出所,089 791105,22.340686,120.893047
琉球分駐所,08 8612231,22.349294,120.382581
大武分局,089 791001,22.358203,120.905536
大武派出所,089 791125,22.358203,120.905536
枋寮分局,08 8782004,22.366741,120.593476
枋寮派出所,08 8782949,22.366741,120.593476
春日分駐所,08 8785180,22.37072,120.627518
新化派出所,089 791749,22.379861,120.858462
建興派出所,08 8712962,22.387172,120.595295
東海派出所,08 8712920,22.400748,120.574098
佳冬分駐所,08 8662089,22.414726,120.549581
歸崇派出所,08 8791104,22.428391,120.630805
林邊分駐所,08 8752018,22.432951,120.516646
南和派出所,08 8791415,22.434669,120.638375
石光派出所,08 8662034,22.438015,120.563245
大鵬灣派出所,08-8338262,22.442456,120.492208
土坂派出所,089 761027,22.454504,120.885768
多良派出所,089 761368,22.462814,120.942359
東港分局,08 8322045,22.463148,120.461809
東港派出所,08 8338183,22.463148,120.461809
東濱派出所,08 8322603,22.466657,120.447683
台坂派出所,089 761047,22.467711,120.914815
新埤分駐所,08 7971045,22.468764,120.551276
餉潭派出所,08 7981819,22.476175,120.611288
中芸派出所,07 6412792,22.485851,120.400435
興龍派出所,08 8322433,22.490204,120.459239
南州分駐所,08 8642047,22.490246,120.509346
港埔派出所,07 6413695,22.504623,120.37697
林園分局,07 6412004,22.509085,120.39427
林園派出所,07 6412013,22.509085,120.39427
崁頂分駐所,08 8631404,22.5134,120.511225
來義分駐所,08 7850206,22.525869,120.631738
大林派出所,07 8712237,22.527031,120.346076
金崙派出所,089 771086,22.533348,120.963279
新園分駐所,08 8681004,22.543436,120.461384
昭明派出所,07 6411903,22.544937,120.406059
四林派出所,08 7882767,22.545496,120.567227
中山路派出所,08 7882347,22.549701,120.538399
潮州分局,08 7882020,22.550073,120.545293
光華派出所,08 7884265,22.550073,120.545293
新鐘派出所,08 7772254,22.56182,120.485833
小港派出所,07 8215913,22.563006,120.336131
小港分局,07 8019207,22.565908,120.34503
漢民路派出所,07 8064590,22.56965,120.359479
高松派出所,07 8010795,22.572418,120.372486
佳佐派出所,08 7831114,22.572902,120.596866
萬巒分駐所,08 7811320,22.573566,120.569095
泗洲派出所,08 7892582,22.573739,120.524344
中洲派出所,07 5712328,22.574786,120.297695
桂陽派出所,07 7912688,22.58221,120.351321
